0,1/25/2020,Orange,California,6059,1,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
1,1/26/2020,Los Angeles,California,6037,1,0,no,no,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
2,1/26/2020,Orange,California,6059,1,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
3,1/27/2020,Los Angeles,California,6037,1,0,no,no,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
4,1/27/2020,Orange,California,6059,1,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
5,1/28/2020,Los Angeles,California,6037,1,0,no,no,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
6,1/28/2020,Orange,California,6059,1,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
7,1/29/2020,Los Angeles,California,6037,1,0,no,no,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
8,1/29/2020,Orange,California,6059,1,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
9,1/30/2020,Los Angeles,California,6037,1,0,no,no,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
10,1/30/2020,Orange,California,6059,1,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
11,1/31/2020,Los Angeles,California,6037,1,0,no,no,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
12,1/31/2020,Orange,California,6059,1,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
13,1/31/2020,Santa Clara,California,6085,1,0,no,no,SRID=4326; POINT(-121.695141328068 37.231794804618175)
14,2/1/2020,Los Angeles,California,6037,1,0,no,no,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
15,2/1/2020,Orange,California,6059,1,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
16,2/1/2020,Santa Clara,California,6085,1,0,no,no,SRID=4326; POINT(-121.695141328068 37.231794804618175)
17,2/2/2020,Los Angeles,California,6037,1,0,no,no,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
18,2/2/2020,Orange,California,6059,1,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
19,2/2/2020,San Francisco,California,6075,2,0,no,no,SRID=4326; POINT(-122.4408832731622 37.75512993109261)
20,2/2/2020,Santa Clara,California,6085,2,0,no,no,SRID=4326; POINT(-121.695141328068 37.231794804618175)
21,2/3/2020,Los Angeles,California,6037,1,0,no,no,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
